feature_id,geometry_type,coordinates,geometry_format
way/1116362178,LineString,"[[29.7653445, 59.9959816], [29.7654484, 59.9959627]]",
way/1116362179,LineString,"[[29.7654484, 59.9959627], [29.7656457, 59.9961976], [29.7658648, 59.9964585], [29.7660602, 59.9966912], [29.766263, 59.9969326], [29.766321, 59.9970016], [29.766499, 59.9972136], [29.7668487, 59.99763], [29.766893, 59.9976827]]","LINESTRING(59.9959627 29.7654484,59.9961976 29.7656457,59.9964585 29.7658648,59.9966912 29.7660602,59.9969326 29.766263,59.9970016 29.766321,59.9972136 29.766499,59.99763 29.7668487,59.9976827 29.766893)"
way/1116362180,LineString,"[[29.7608384, 59.9906086], [29.7609356, 59.9905889]]",
way/1116362181,LineString,"[[29.766893, 59.9976827], [29.7669365, 59.9977346], [29.7674173, 59.998307], [29.767757, 59.9987113]]","LINESTRING(59.9976827 29.766893,59.9977346 29.7669365,59.998307 29.7674173,59.9987113 29.767757)"
way/1116362182,LineString,"[[29.767757, 59.9987113], [29.7676512, 59.9987331]]",
way/1116362183,LineString,"[[29.767757, 59.9987113], [29.7678076, 59.9987716], [29.7681297, 59.9991551], [29.7681753, 59.9992094], [29.7682128, 59.9992541], [29.7682957, 59.9993528], [29.7694103, 60.0006903], [29.7694685, 60.0007561], [29.7695022, 60.0007905]]","LINESTRING(59.9987113 29.767757,59.9987716 29.7678076,59.9991551 29.7681297,59.9992094 29.7681753,59.9992541 29.7682128,59.9993528 29.7682957,60.0006903 29.7694103,60.0007561 29.7694685,60.0007905 29.7695022)"
way/1116362185,LineString,"[[29.766499, 59.9972136], [29.7663949, 59.9972355]]",
way/1116362186,LineString,"[[29.7656457, 59.9961976], [29.7655427, 59.9962189]]",
way/1116362191,LineString,"[[29.7636029, 59.9937652], [29.7635012, 59.9937838]]",
way/1116362192,LineString,"[[29.7627038, 59.9926946], [29.762605, 59.9927151]]",
way/1116362193,LineString,"[[29.7622605, 59.9923043], [29.7623602, 59.9922854]]",
way/1116362195,LineString,"[[29.7612712, 59.9911247], [29.7613664, 59.9911019]]",
way/1116362196,LineString,"[[29.7614532, 59.9912053], [29.7613559, 59.9912257]]",
way/1116362197,LineString,"[[29.7653445, 59.9959816], [29.7650475, 59.9956275], [29.7650069, 59.9955791], [29.7643654, 59.9948142], [29.7640058, 59.9943854], [29.7637905, 59.9941287], [29.7637792, 59.9941153], [29.7636262, 59.9939328], [29.763599, 59.9939004], [29.7635012, 59.9937838], [29.7631534, 59.9933691], [29.7630863, 59.9932891], [29.7630412, 59.9932353], [29.762605, 59.9927151], [29.7624493, 59.9925296], [29.7622605, 59.9923043], [29.762217, 59.9922525], [29.7619563, 59.9919417], [29.7618942, 59.9918676], [29.7618564, 59.9918226], [29.7613559, 59.9912257], [29.7612712, 59.9911247], [29.7610616, 59.9908748], [29.760954, 59.9907465], [29.7608384, 59.9906086]]","LINESTRING(59.9959816 29.7653445,59.9956275 29.7650475,59.9955791 29.7650069,59.9948142 29.7643654,59.9943854 29.7640058,59.9941287 29.7637905,59.9941153 29.7637792,59.9939328 29.7636262,59.9939004 29.763599,59.9937838 29.7635012,59.9933691 29.7631534,59.9932891 29.7630863,59.9932353 29.7630412,59.9927151 29.762605,59.9925296 29.7624493,59.9923043 29.7622605,59.9922525 29.762217,59.9919417 29.7619563,59.9918676 29.7618942,59.9918226 29.7618564,59.9912257 29.7613559,59.9911247 29.7612712,59.9908748 29.7610616,59.9907465 29.760954,59.9906086 29.7608384)"
way/1116362198,LineString,"[[29.7609356, 59.9905889], [29.7610506, 59.9907258], [29.7611616, 59.990858], [29.7613664, 59.9911019], [29.7614532, 59.9912053], [29.761956, 59.9918041], [29.7619911, 59.9918458], [29.7620556, 59.9919227], [29.7623142, 59.9922306], [29.7623602, 59.9922854], [29.7627038, 59.9926946], [29.7631404, 59.9932145], [29.7631855, 59.9932682], [29.763252, 59.9933474], [29.7634338, 59.9935638], [29.7635695, 59.9937254], [29.7636029, 59.9937652], [29.7636987, 59.9938793], [29.763865, 59.9940773], [29.7638695, 59.9940827], [29.7641059, 59.9943642], [29.7644658, 59.9947927], [29.7645001, 59.9948335], [29.7645177, 59.9948545], [29.7651075, 59.9955568], [29.7651493, 59.9956066], [29.7654484, 59.9959627]]","LINESTRING(59.9905889 29.7609356,59.9907258 29.7610506,59.990858 29.7611616,59.9911019 29.7613664,59.9912053 29.7614532,59.9918041 29.761956,59.9918458 29.7619911,59.9919227 29.7620556,59.9922306 29.7623142,59.9922854 29.7623602,59.9926946 29.7627038,59.9932145 29.7631404,59.9932682 29.7631855,59.9933474 29.763252,59.9935638 29.7634338,59.9937254 29.7635695,59.9937652 29.7636029,59.9938793 29.7636987,59.9940773 29.763865,59.9940827 29.7638695,59.9943642 29.7641059,59.9947927 29.7644658,59.9948335 29.7645001,59.9948545 29.7645177,59.9955568 29.7651075,59.9956066 29.7651493,59.9959627 29.7654484)"
way/1116362199,LineString,"[[29.7608384, 59.9906086], [29.7607702, 59.9905274], [29.7601497, 59.9897873], [29.7601417, 59.9897417], [29.7601604, 59.9897014], [29.760257, 59.9896116]]","LINESTRING(59.9906086 29.7608384,59.9905274 29.7607702,59.9897873 29.7601497,59.9897417 29.7601417,59.9897014 29.7601604,59.9896116 29.760257)"
